Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2020-04-22,Chiratae Ventures,2018,Bangalore,"['Vaishali Kulkarni', ' Arjun Singh Bajwa']",Venture Catalysts,3000000.0,Seed Funding,2020,Finance,2,1
2020-04-23,iNurture Education,2016,Bangalore,['Ashwin Ajila'],Kimera Ltd,4000000.0,Series A,2020,Education,1,1
2020-04-23,Tinker Coders,2020,Noida,['Anoop Gautam'],STEMROBO Technologies,3000000.0,Seed,2020,Education,1,1
2020-04-23,Timios,2016,Bangalore,['Aswani Chaitanya'],Rangsons Technologies,3000000.0,Pre-series A,2020,Consumables,1,1
2020-04-23,MedLife,2014,Bangalore,"['Ananth Narayanan', ' T-ushar Kumar']",Ivy Icon,6800000.0,Series A,2020,Healthcare,2,1
2020-04-23,Refrens,2019,Bangalore,"['Naman Sarawagi', ' Mohit Jain']","Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Seed Round,2020,Technology,2,2
2020-04-24,Docsapp,2015,Bangalore,['Satish Kannan'],"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",9500000.0,Series A,2020,Healthcare,1,4
2020-04-24,Reliance Retail,2006,Mumbai,['Mukesh Ambani'],Silver Lake Partners,10220000.0,Series A,2020,E-Commerce,1,1
2020-04-24,CureFit,2016,Bangalore,"['Mukesh Bansal', ' Ankit Nagori']",Temasek,115000000.0,Series D,2020,Wellness/Beauty,2,1
2020-04-24,Avanse Financial Services,2012,Mumbai,['Amit Gainda'],International Finance Corporation,15000000.0,Series A,2020,FinTech,1,1
2020-04-24,Wellversed,2018,Delhi,"['Aanan Khurma', ' Aditya Seth', ' Ripunjay Chachan']","KLUB Works, Shankar Narayanan",3000000.0,Pre-series A,2020,Automotive,3,2
2020-04-25,FPL Technologies,2019,Pune,"['Anurag Sinha', ' Rupesh Kumar', ' Vibhav Hathi']","Matrix Partners India, Hummingbird Ventures",10000000.0,Series A,2020,FinTech,3,2
2020-04-25,Tiliter,2017,Sydney,"['Chris Sampson', ' Marcel Herz', ' Martin Karafilis']","AngelList, Investec",7500000.0,Series A,2020,Consumer Services,3,2
2020-04-26,Biocon,1978,Bangalore,['Kiran Mazumdar-Shaw'],Goldman Sachs,15000000.0,Series A,2020,Automotive,1,1
2020-04-26,Country Delight,2015,Haryana,"['Chakradhar Gade', ' Nitin Kaushal']","Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020,Consumables,2,2
2020-04-26,Avataa Me,2014,Bangalore,['Gaurav Baid'],Sequoia Capital India,7000000.0,Series A,2020,Technology,1,1
2020-04-26,Sanfe,2016,Delhi,"['Archit Agarwal', ' Harry Sehrawat']","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre-series A,2020,Other,2,4
2020-04-26,Invento,2016,Bangalore,"['Balaji Viswanathan', ' Bharat Kumar', ' Mahalakshmi Radhakrishnan']","Chiripal Group, Ratish Kumar Nair",3000000.0,Series A,2020,Technology,3,2
2020-04-27,ProEves,2016,Delhi,"['Divya Agarwal', ' Ketika Kapoor']",1Crowd,507000.0,Seed Round,2020,Automotive,2,1
2020-04-29,Sascan Meditech pvt ltd,2015,Kerala,['Dr Subhash Narayanan'],Unicorn India Ventures,3000000.0,Series A,2020,Healthcare,1,1
2020-04-29,Spaciya Consultants,2016,Noida,['Ajit Panda'],Alok Garg,500000.0,Pre-series A,2020,Real Estate,1,1
2020-04-29,KopyKitab,2013,Bangalore,"['Amit Shrivastava', ' Sumeet Verma']","Paula Mariwala, Siddharth Anand",3000000.0,Series A,2020,Education,2,2
2020-04-30,Intello Labs,2016,Gurugram,"['Milan Sharma', ' Nishant Mishra', ' Himani Shah', ' Devendra Chandani']",Saama Capital,5900000.0,Series A,2020,Technology,4,1
2020-04-30,Pandorum,2011,Bangalore,['Tuhin Bhowmick'],"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Series A,2020,Technology,1,2
2020-04-30,Slurrp Farm,2016,Gurugram,['Meghana Narayan'],Fireside Ventures,2000000.0,Series A,2020,Consumables,1,1
2020-04-30,Bikayi,2019,Hyderabad,"['Sonakshi Nathani', ' Ashutosh Singla']",Mantis ventures,2000000.0,Seed Round,2020,E-Commerce,2,1
2020-04-30,Stanplus,2016,Hyderabad,['Prabhdeep Singh'],Pegasus FinInvest,1500000.0,Pre-series A,2020,Healthcare,1,1
2020-05-01,Dhurnia,2018,Haryana,"['Ajay Kumar', ' Murari Singh']","Chandigarh Angels Network, Modulor Capital",100000.0,Series A,2020,Education,2,2
2020-05-01,Fleetx,2017,Gurugram,"['Abhay Jeet Gupta', ' Parveen Kataria', ' Udbhav Rai', ' Vineet Sharma', ' Vishal Mishra']","Rohit Bansal, Rohan Ranavat",3000000.0,Pre-series B,2020,Technology,5,2
2020-05-02,MoooFarm,2019,Gurugram,"['Param Singh', ' Aashna Singh', ' Abhijeet Mittal', ' Jitesh Arora']","Navus Ventures, Rockstart",500000.0,Pre-seed,2020,Technology,4,2
2020-05-02,Pepper Content,2017,Mumbai,"['Anirudh Singla', ' Rishabh Shekhar']","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020,E-Commerce,2,2
2020-05-02,Sleepy Owl,2016,Delhi,"['Ajai Thandi', ' Arman Sood', ' Ashwajeet Singh']",Rukam Capital,3000000.0,Series A,2020,Consumables,3,1
2020-05-02,AnalytIQSports's SuperCric,2019,Bangalore,"['Suhail Chandhok', ' Arvind Sivdas', ' Dhanya Param']",Venture Catalysts,3000000.0,Series A,2020,Media/Entertainment,3,1
2020-05-02,Spintly,2017,Goa,"['Rohin Parkar', ' Malcolm Dsouza']",Saltwater Venture Sparks,248000.0,Pre-series A,2020,Technology,2,1
2020-05-03,ThriveFNC,2017,Pune,['Mugdha Pradhan'],Rajesh Ranavat,3000000.0,Seed Round,2020,Wellness/Beauty,1,1
2020-05-03,Lido Learning,2016,Mumbai,['Sahil Sheth'],Bace Capital,7500000.0,Series B,2020,Education,1,1
2020-05-04,Fleeca India,2016,Jaipur,['Tikam Jain'],Bridgestone India,3000000.0,Series A,2020,Automotive,1,1
2020-05-04,Glance,2016,Bangalore,['Naveen Tewari'],Mithril Capital Management.,145000000.0,Series A,2020,Technology,1,1
2020-05-04,Klub,2019,Bangalore,"['Anurakt Jain', ' Ishita Verma']",Sequoia Surge,2000000.0,Seed Round,2020,FinTech,2,1
2020-05-05,DeepTek,2018,Pune,"['Amit Kharat', ' Ajit Patil', ' Aniruddha Pant']",GHV Accelerator,3000000.0,Series A,2020,Healthcare,3,1
2020-05-05,Zomato,2008,Gurugram,"['Deepinder Goyal', ' Gaurav Gupta', ' Pankaj Chaddah']","Kora, Tiger Global Management",660000000.0,Series A,2020,Consumables,3,2
2020-05-05,Ather Energy,2013,Bangalore,"['Tarun Mehta', ' Swapnil Jain']",Hero MotoCorp,11241000.0,Series C,2020,Automotive,2,1
2020-05-05,M1xchange,2017,Gurugram,['Sundeep Mohindru'],"BEENEXT, Mayfield Fund",4500000.0,Series A,2020,FinTech,1,2
2020-05-07,Kitchens Centre,2019,Delhi,['Lakshay Jain'],AngelList India,500000.0,Seed Round,2020,Technology,1,1
2020-05-08,Chai Waale,2018,Chennai,['Vidur Maheshwari'],"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Series A,2020,Consumables,1,6
2020-05-10,Dream11,2008,Mumbai,"['Bhavit Sheth', ' Harsh Jain']","Steadview Capital, Tencent Holdings",225000000.0,Series A,2020,Media/Entertainment,2,2
2020-05-11,Winzo,2018,Delhi,"['Paavan Nanda', ' Saumya Singh Rathore']","Makers Fund, Courtside Ventures",2000000.0,Series A,2020,Gaming,2,2
2020-05-11,Prayaan Capital,2016,Chennai,"['Madhan Mohan ', ' Akash Chelvam']",Accion Venture Lab,1200000.0,Seed Round,2020,FinTech,2,1
2020-05-11,The Health company,2018,Gurugram,"['Devansh Jain Nawal', ' Ackshay Jain']","VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,Series A,2020,Technology,2,4
2020-05-12,Zomato,2008,Haryana,"['Deepinder Goyal', ' Pankaj Chaddah']","MacRitchie Investments, Baillie Gifford",62000000.0,Series A,2020,Consumables,2,2
2020-05-12,Oga Fit,2017,Bangalore,['Ashish Rawat'],"Inflection Point Ventures, Mitesh Shah",3000000.0,Pre-series A,2020,Wellness/Beauty,1,2
2020-05-12,SucSEED Indovation,2016,Hyderabad,['Vikrant Varshney'],Venture Catalysts,5000000.0,Series A,2020,FinTech,1,1
2020-05-13,Nykaa,2012,Mumbai,['Falguni Nayar'],Steadview Capital,24700000.0,Series A,2020,Lifestyle,1,1
2020-05-13,Otipy,2020,Bangalore,['Varun Khanna'],Inflection Point Ventures,1000000.0,Pre-series A,2020,E-Commerce,1,1
2020-05-13,Fintso,2020,Bangalore,"['George Mitra', ' Rajan Pathak']","Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,Series A,2020,FinTech,2,4
2020-05-13,Vistaar Finance,2010,Bangalore,"['Brahmanad', ' Ramakrishna Nishtala']",FMO,30000000.0,Series A,2020,Finance,2,1
2020-05-15,HempStreet,2019,Bangalore,['Abhishek Mohan'],Pharmacon Holdings,1000000.0,Pre-series A,2020,Healthcare,1,1
2020-05-15,YoloBus,2019,Gurugram,"['Shailesh Gupta', ' Mukul Shah']",Nexus Venture Partners,3300000.0,Series A,2020,Logistics,2,1
2020-05-15,Wellcure,2016,Gurugram,"['Sumeet Kapur', ' Ankur Bhatia', ' Aanchal Kapur']",Inflection Point Ventures,200000.0,Series A,2020,Healthcare,3,1
2020-05-16,Shiprocket,2017,Bangalore,['Saahil Goel'],"Tribe Capital, Innoven Capital, BII",13000000.0,Series C,2020,Technology,1,3
2020-05-16,Doubtnut,2017,Gurugram,"['Tanushri Nagori', ' Aditya Shankar']",Tencent,15000000.0,Series A,2020,Education,2,1
2020-05-16,Gradeup,2015,Noida,['Shobhit Bhatnagar'],"Times Internet, TLabs",546000.0,Series A,2020,Education,1,2
2020-05-16,Awign Enterprises,2016,Bangalore,"['Annanya Sarthak', ' Gurpreet Singh', ' Praveen Sah']","Unitus Ventures, Work10M",500000.0,Series A,2020,Other,3,2
2020-05-16,Magicpin,2015,Gurugram,"['Anshoo Sharma', ' Brij Bhushan']",Lightspeed Venture Partners,3879000.0,Series A,2020,E-Commerce,2,1
2020-05-17,Prolixr,2018,Gurugram,"['Aditya Sharma', ' Jayesh Hans']","Alfa Ventures, Divij Bajaj",3000000.0,Seed,2020,Automotive,2,2
2020-05-17,FITTR,2016,Pune,"['Jitendra Chouksey', ' Sonal Singh', ' Jyoti Dabas', ' Bala Krishna Reddy', ' Rohit Chattopadhyay.']",Surge,2000000.0,Pre-series A,2020,Wellness/Beauty,5,1
2020-05-18,Rage Coffee,2016,Delhi,['Bharat Sethi'],Refex Capital,3000000.0,Series A,2020,Consumables,1,1
2020-05-18,Finn,2019,Bangalore,"['Suman Maram', ' Sudheer Maram']","Unicorn India, PointOne Capital, Astir Ventures",3000000.0,Pre-series A,2020,FinTech,2,3
2020-05-18,Samya AI,2019,Bangalore,"['Shailendra Singh', ' Deepinder Dhingra', ' Pavan Palety']",Sequoia India,6000000.0,Seed Round,2020,Technology,3,1
2020-05-19,Vernacular ai,2016,Bangalore,"['Gupta', ' Akshay Deshraj', ' Manoj Sarda']","Exfinity Ventures, IAN Fund",5100000.0,Series A,2020,Technology,3,2
2020-05-19,iNurture,2009,Bangalore,['Ashwin Ajila'],BlackSoil Capital,1340000.0,Series A,2020,Education,1,1
2020-05-19,Unotech,2011,Mumbai,['Vikash Jha'],Manish Choksi,2000000.0,Series A,2020,Technology,1,1
2020-05-20,Nirmata,2013,San Franciscao,"['Damien Toledo', ' Jim Bugwadia', ' Ritesh Patel']","Damien Toledo, Jim Bugwadia, Ritesh Patel",3000000.0,Series A,2020,Technology,3,3
2020-05-20,Xtracap,2016,Gurugram,['Mohammed Riaz'],Angel Investors,1000000.0,Series A,2020,FinTech,1,1
2020-05-20,Eupheus Learning,2017,Delhi,"['Sarvesh Shrivastava', ' Ved Prakash Khatri', ' Amit Kapoor']",Yuj Ventures,4300000.0,Series A,2020,Education,3,1
2020-05-20,PointOne Capital,2020,Bangalore,['Mihir Jha'],Venture Catalysts,3000000.0,Series A,2020,Finance,1,1
2020-05-21,CRED,2018,Bangalore,['Kunal Shah'],"General Catalyst, Ribbit Capital",80000000.0,Series C,2020,Finance,1,2
2020-05-21,MikeLegal,2017,Gurugram,"['Tushar Bhargava', ' Anshul Gupta']","SOSV, Artesian",3000000.0,Seed,2020,Technology,2,2
2020-05-21,Betterplace,2015,Bangalore,"['Saurabh Tandan', ' Pravin Agarwala']",Jungle Ventures,10000000.0,Series B,2020,Technology,2,1
2020-05-21,Excess2Sell,2016,Mumbai,['Rajan Sharma'],Gautham Madhavan,1000000.0,Series A,2020,E-Commerce,1,1
2020-05-22,Camp K12,2016,Gurugram,"['Anshul Bhagi', ' Sandeep Bhagi']","Matrix Partners, SAIF Partners",4000000.0,Seed Round,2020,Education,2,2
2020-05-22,GetWork,2019,Gurugram,['Rahul Veerwal'],India Accelerator,40000.0,Pre-seed,2020,Technology,1,1
2020-05-23,Trell,2016,Bangalore,"['Pulkit Agrawal', ' Prashant Sachan', ' Arun Lodhi', ' Bimal Kartheek Rebba', ' Nirav Sheth']","Sequoia’s Surge, Fosun RZ",4000000.0,Pre-series A,2020,E-Commerce,5,2
2020-05-23,Dealberg,2016,Bangalore,['Abhishek Emmanuel'],Undisclosed,3000000.0,Series A,2020,E-Commerce,1,1
2020-05-23,Vieroots,2018,Kochi,['Sanjeev Nair'],Suniel Shetty,3000000.0,Series A,2020,Healthcare,1,1
2020-05-24,Byju’s,2011,Bangalore,['Byju Raveendran'],"Owl Ventures, Tiger Global Management",500000000.0,Series A,2020,Education,1,2
2020-05-25,Let's Dive,2020,Bangalore,"['Nitesh Agrawal', ' Om Prakash']",Surge,1700000.0,Series A,2020,Technology,2,1
2020-05-26,INdwealth,2016,Gurugram,['Ashish Kashyap'],"Tiger Global, Steadview Capital, DF International Private Partners",12000000.0,Series C,2020,FinTech,1,3
2020-05-26,Uniplatform Tech,2015,Delhi,"['Rohit Manghnani', ' Amit K Jaiswal', ' Iccha Manghnani']","Frontline Strategy Finds, SucSEED Venture Partners LLP",3000000.0,Series A,2020,Technology,3,2
2020-05-26,WorkIndia,2016,Bangalore,['Kunal Patil'],Xiaomi,6000000.0,Series A,2020,Technology,1,1
2020-05-26,DeepSync,2018,Chandigarh,"['Ishan Sharma', ' Rishikesh']","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,Series A,2020,Technology,2,5
2020-05-27,Amica,2016,Bangalore,['Jitendra Gupta'],"Hummingbird Ventures, Bedrock Capital",2000000.0,Series A,2020,FinTech,1,2
2020-05-27,Skylo,2017,Bangalore,['Trivedi'],SoftBank Group,103000000.0,Series B,2020,Technology,1,1
2020-05-28,MergerDomo,2018,Noida,"['Hormazd Charna', ' Manoj Mishra']","Nadir Godrej, Individual Investors",197000.0,Series A,2020,Marketing,2,2
2020-05-28,Goodmylk,2017,Bangalore,['Abhay Rangan'],"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000.0,Seed Round,2020,Consumables,1,4
2020-05-28,Awign,2016,Bangalore,"['Annanya Sarthak', ' Gurpreet Singh', ' Praveen Sah']","Unitus Ventures, Work10M",3000000.0,Pre-series B,2020,Other,3,2
2020-05-28,Convosight,2019,Hyderabad,"['Tarun Dhamija', ' Kartik Bansal']","IvyCap Ventures, Sequoia Capital",4000000.0,Pre-series A,2020,Technology,2,2
2020-05-29,Go Desi,2018,Delhi,['Vinay Kothari'],Rukam Capital,627300.0,Seed Round,2020,Consumables,1,1
2020-05-30,Info Edge Venture,1995,Noida,['Sanjeev Bikhchandani'],Lightbox,50000000.0,Series A,2020,Finance,1,1
2020-05-30,Winuall,2019,Bangalore,"['Ashwini Purohit', ' MS Chouhan']","Amit Lakhotia, Akash Gehani",2000000.0,Series A,2020,Education,2,2
2020-05-31,Illumnus,2018,Pune,"['Akash Deep Singhal', ' Akshaya Singhal', ' Devashish Saxena', ' Gauri Dehnkar']",23 High Networth Individuals (HNIs).,100000.0,Seed,2020,Education,4,1
2020-05-31,Toppr,2013,Mumbai,"['Zishaan Hayath', ' Hemanth Goteti']","Kaizenvest, Foundation Holdings",35000000.0,Series D,2020,Education,2,2
2020-05-31,Leap Club,2020,Gurugram,"['Ragini Das', ' Anand Sinha']",Titan Capital,3000000.0,Series A,2020,E-Commerce,2,1
2020-06-01,inFeedo,2013,Gurugram,['Tanmaya Jain'],"Peyush Bansal, Ritesh Malik",3200000.0,Series A,2020,Technology,1,2
2020-06-01,Expertrons,2016,Mumbai,"['Vivek Gupta', ' Jatin Solanki']","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",3000000.0,Seed Round,2020,Technology,2,4
2020-06-01,Clientjoy,2013,Gujarat,"['Abhishek Doshi', ' Anupama Panchal', ' Shashwat Bhatt', ' Yash Shah']","LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020,Technology,4,2
2020-06-01,Stack Finance,2019,Bangalore,['Smriti Tomar'],"SOSV, MOX (Mobile Only Accelerator)",3000000.0,Seed Round,2020,FinTech,1,2
2020-06-02,Ninjacart,2015,Bangalore,"['Ashutosh Vikram', ' Kartheeswaran K K', ' Sharath Loganathan', ' Thiru Nagarajan', ' Thirukumaran Nagarajan', ' Vasu Devan']","Syngenta Ventures, Walmart",30000000.0,Series A,2020,Consumables,6,2
2020-06-02,Oye! Rickshaw,2016,Bangalore,['Akash Deep'],Chiratae Ventures,10000000.0,Series A,2020,Technology,1,1
2020-06-03,Eden Smart Homes,2018,Bangalore,"['Pranjal Kacholia', ' Divyansh Mathur']",Inflection Point Ventures,3000000.0,Series A,2020,Technology,2,1
2020-06-03,Chingari,2018,Bangalore,"['Biswatma Nayak', ' Siddharth Gautam']","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Seed Round,2020,Media/Entertainment,2,5
2020-06-03,Entri,2017,Kochi,['Mohammed Hisamuddin'],Good Capital,1700000.0,Pre-series A,2020,Education,1,1
2020-06-04,Credit Mantri,2012,Chennai,"['Gowri Mukherjee', ' Ranjit Punja', ' Rajasundaram Sudarshan']","IDG Ventures, Elevar Equity, Accion",792000.0,Series A,2020,FinTech,3,3
2020-06-04,Yulu,2016,Bangalore,['Amit Gupta'],Rocketship,3964000.0,Series A,2020,Other,1,1
2020-06-04,91springboard,2012,Delhi,"['Vemuri', ' Deepak Sharma', ' Pranay Gupta', ' Varun Chawla']","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",5940000.0,Series A,2020,Other,4,2
2020-06-04,Signzy,2015,Bangalore,"['Ankit Ratan', ' Ankur Pandey', ' Arpit Ratan']","GenNext Ventures, Contrarian Drishti Partners",5400000.0,Series A,2020,FinTech,3,2
2020-06-04,Aavenir,2019,Ahmedabad,['Ashish Bhandari'],Accel,2000000.0,Seed Round,2020,Technology,1,1
2020-06-04,Snowflake,2012,California,"['Benoit Dageville', ' Bob Muglia', ' Marcin Zukowski', ' Thierry Cruanes']","Salesforce Ventures, Dragoneer Investment Group",-2147483648.0,Series A,2020,Technology,4,2
2020-06-05,Leverage Edu,2016,Delhi,['Akshay Chaturvedi'],"DSG Consumer Partners, Blume Ventures",1500000.0,Series A,2020,Education,1,2
2020-06-05,Mobile Premier League (MPL),2018,Bangalore,"['Sai Srinivas Kiran G', ' Shubham Malhotra']","Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020,Gaming,2,2
2020-06-05,Pravasirojgar,2020,Bangalore,['Sonu Sood'],GoodWorker.,33000000.0,Series A,2020,Other,1,1
2020-06-05,Reliance Retail Ventures Ltd,2006,Mumbai,['Mukesh Ambani'],"Silver Lake, Mubadala Investment Company",-2147483648.0,Series A,2020,Consumer Services,1,2
2020-06-05,Flipkart,2007,Bangalore,"['Binny Bansal', ' Sachin Bansal']","Tencent Holdings, Walmart",62000000.0,Series A,2020,E-Commerce,2,2
2020-06-05,MindTickle,2011,Pune,"['Deepak Diwakar', ' Krishna Depura', ' Mohit Garg', ' Nishant Mungali']","Canaan Partners, NewView Capital",100000000.0,Debt,2020,Technology,4,2
2020-06-05,NIRA,2018,Bangalore,"['Rohit Sen', ' Nupur Gupta']",Angel investors,2100000.0,Pre-series A,2020,FinTech,2,1
2020-06-05,Blowhorn,2014,Bangalore,"['Mithun Srivatsa', ' Nikhil Shivaprasad']",Trifecta Capital,3000000.0,Series A,2020,Logistics,2,1
2020-06-06,Power Gummies,2018,Delhi,['Divij Bajaj'],Venture Catalysts,3000000.0,Bridge,2020,Healthcare,1,1
2020-06-06,CredR,2014,Mumbai,"['Nikhil Jain', ' Nittin Mittal', ' Sumit Chhazed']","Eight Roads Ventures, On Mauritius",2000000.0,Series A,2020,E-Commerce,3,2
2020-06-07,Mobile Premier League,2018,Bangalore,"['Sai Srinivas Kiran G', ' Shubham Malhotra']","Sequoia Capital India, Times Internet",74000000.0,Series A,2020,Media/Entertainment,2,2
2020-06-07,Guvi Geek Network Pvt Ltd,2014,Chennai,"['SP Balamurugan', ' Arun Prakash', ' Sri Devi']",Education Catalyst Fund,786000.0,Pre-series A,2020,Education,3,1
2020-06-07,Ultraviolette Automotive,2015,Bangalore,"['Narayan Subramaniam', ' Niraj Rajmohan']",TVS Motor Company,410000.0,Series B,2020,Technology,2,1
2020-06-07,Arrival,2015,London,['Denis Sverdlov'],"UPS Ventures, Hyundai Motor Company",118000000.0,Series A,2020,Energy,1,2
2020-06-07,HomeLane,2014,Chennai,"['Srikanth Iyer', ' Rama Harinath']","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,2020,Real Estate,2,3
2020-06-07,LetsTransport,2015,Bangalore,"['Pushkar Singh', ' Sudarshan Ravi', ' Ankit Parasher']",Stride Ventures,1313500.0,Series A,2020,Technology,3,1
2020-06-08,Pitstop,2016,Bangalore,['Mihir Mohan mishra'],TPG-backed Group Landmark,2500000.0,Series A,2020,Automotive,1,1
2020-06-08,Frontier Markets,2011,Jaipur,['Ajaitha Shah'],"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre-series A,2020,E-Commerce,1,5
2020-06-08,FabHotels,2014,Gurugram,"['Adarsh Manpuria', ' Vaibhav Aggarwal']","RB Investments Pte. Ltd, Goldman Sachs",1030000.0,Series B,2020,Hospitality,2,2
2020-06-09,TagMango,2019,Mumbai,"['Divyanshu Damani', ' Mohammad Hasan']","XRM Media, Kevin Lin",700000.0,Seed,2020,Marketing,2,2
2020-06-09,Satyukt,2018,Bangalore,"['Sat Tomer', ' Yukti Gill']","NABVENTURES, Social Alpha (India)",500000.0,Seed,2020,Technology,2,2
2020-06-09,Gamerji,2018,Ahmedabad,"['Soham Thacker', ' Valay Patel', ' Varun Gajjar']",La Gajjar Group.,3000000.0,Seed,2020,Gaming,3,1
2020-06-09,DeHaat,2012,Bangalore,['Shashank Kumar'],Sequoia Capital India,12000000.0,Series A,2020,Technology,1,1
2020-06-10,BHIVE Investech,2014,Bangalore,"['Monnappa Bayavanda', ' Prashant Reddy', ' Ravindra M.K', ' Ravindra M.K.', ' Shesh Paplikar', ' Shesh Paplikar', ' Sridhar Venkataraman']",Blume Ventures,1000000.0,Seed,2020,Other,7,1
2020-06-10,TaxBuddy.com,2019,Mumbai,['Sujit Bangar'],Zenith Global,1000000.0,Series A,2020,FinTech,1,1
2020-06-10,Multi Living,2016,Mumbai,['Pankaj Singh'],Lodha Ventures,6000000.0,Series A,2020,Real Estate,1,1
2020-06-11,Countingwell,2018,Bangalore,['Nirmal Shah'],"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020,Education,1,3
2020-06-11,Moms Co,2016,Gurugram,"['Malika Datt Sadani', ' Mohit Sadaani']","DSG Consumer Partners, Saama Capital",8000000.0,Series B,2020,Automotive,2,2
2020-06-11,FreshtoHome,2015,Bangalore,['Shan Kadavil'],"Ascent Capital, Iron Pillar",16000000.0,Series A,2020,E-Commerce,1,2
2020-06-11,Embibe,2016,Mumbai,['Aditi Avasthi'],Reliance Industries Limited (RIL),12618300.0,Series A,2020,Education,1,1
2020-06-12,Rusk Media,2019,Delhi,['Mayank Yadav'],"InfoEdge Venture Fund, Sprout Venture Partners",3000000.0,Seed Round,2020,Media/Entertainment,1,2
2020-06-12,Aye Finance,2014,Gurugram,"['Vikram Jetley', ' Sanjay Sharma']","Capital G, Alphabet's Independent growth fund",27700000.0,Series E,2020,FinTech,2,2
2020-06-12,Flickstree,2014,Mumbai,"['Saurabh Singh', ' Rahul Jain', ' Nagender Sangra']","MOX, Venture Catalysts",40900.0,Series A,2020,Technology,3,2
2020-06-13,Qin1,2016,Noida,"['Ishan Gupta', ' Aarti Gupta']",Venture Catalysts,3000000.0,Series A,2020,Education,2,1
2020-06-14,Raskik,2019,Bangalore,"['Vikas Chawla', ' Abhay Parnerkar', ' Satyajit Ram']","Venture Catalysts, 9Unicorns",1000000.0,Pre-series A,2020,Other,3,2
2020-06-14,SUGAR cosmetics,2012,Mumbai,"['Kasuhik Mukherjee', ' Vineeta Singh']","A91 Partners, RB Investments Pte. Ltd",2000000.0,Debt,2020,Wellness/Beauty,2,2
2020-06-14,Aker Foods,2019,Pune,['Suraj Saste'],Mumbai Angels Network,3000000.0,Series A,2020,Consumables,1,1
2020-06-14,Picxy,2016,Hyderabad,['Jitendra Emmani'],"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000.0,Series A,2020,Media/Entertainment,1,4
2020-06-14,Oga Fit's,2017,Bangalore,['Ashish Rawat'],9Unicorns,3000000.0,Pre-series A,2020,Wellness/Beauty,1,1
2020-06-14,Vedantu,2016,Bangalore,"['Saurabh Saxena', ' Pulkit Jain', ' Anand Prakash', ' Vamsi Krishna']",GGV Capital,24000000.0,Series C,2020,Education,4,1
2020-06-15,Vedantu,2016,Bangalore,"['Saurabh Saxena', ' Pulkit Jain', ' Anand Prakash', ' Vamsi Krishna']",Legend Capital,12500000.0,Series C,2020,Education,4,1
2020-06-15,Dunzo,2014,Bangalore,"['Kabeer Biswas', ' Ankur Agarwal', ' Dalvir Suri', ' Mukund Jha']","Wes Schwalje, Alteria Capital",28000000.0,Series E,2020,Technology,4,2
2020-06-17,Reliance Retail Ventures,2006,Mumbai,['Mukesh Ambani'],"General Atlantic, Kohlberg Kravis Roberts",800000000.0,Series A,2020,E-Commerce,1,2
2020-06-17,Bizlog,2016,Bangalore,"['HS Srinivasan', ' Krishnan Rajan', ' E.V. Shunmugam']",IAN Fund,1000000.0,Series A,2020,Logistics,3,1
2020-06-18,Pesto,2017,Delhi,"['Andrew Linfoot', ' Ayush Jaiswal']","Sriharsha Majety, Rahul Jaimini",3000000.0,Series A,2020,Education,2,2
2020-06-18,LightSpeedAI,2019,Bangalore,"['Rohin Y', ' PV Ramana']","YourNest, growX ventures",3000000.0,Series A,2020,Technology,2,2
2020-06-18,Fanspole,2015,Thane,"['Aniket Shinde', ' Hardik Gondaliya']","Mohan Verma, Better Capital",3000000.0,Pre-Seed,2020,Media/Entertainment,2,2
2020-06-19,Rooter,2016,Delhi,"['Piyush', ' Dipesh Agarwal']","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre-series A,2020,Gaming,2,4
